"","study","vp","reward_b1","reward_b2","reward_b3","reward_b4","choice","rt"
"1","chakroun",1,50.0674374012484,71.3730616679449,61.7184976540546,67.7538771506791,1,0.517778273782824
"2","chakroun",1,53.9526020965267,76.222783838182,64.661255296634,65.6905307872111,2,0.301927891950982
"3","chakroun",1,43.8137509633137,67.371398682653,56.5498926259773,52.229788811087,4,0.351394416651601
"4","chakroun",1,52.7229294367157,72.5233427222412,67.7003106491254,60.3119653337367,3,0.376207643708767
"5","chakroun",1,48.9867363098542,73.6701794452124,65.3231174941895,54.4439532680226,2,0.499854391877307
"6","chakroun",1,53.6562828870899,85.4969994453746,70.2239910002968,53.8098230100025,2,0.413972155545707
"7","chakroun",1,39.8005417867112,76.5540689019041,56.3943725026319,36.7608384774719,2,0.413272467449133
"8","chakroun",1,58.5005666457411,95.4923962328103,75.3050016430874,55.7740208467159,2,0.364737334361052
"9","chakroun",1,45.0036681397249,84.6192693691419,62.0952607990481,45.8588625197876,2,0.338524640867035
"10","chakroun",1,38.9051275213875,78.0642067715013,60.8771337186309,37.8434751193236,2,0.447982777890502
"11","chakroun",1,49.2259866556617,90.4326465593902,73.3104308289592,46.8034529060649,2,0.46672893680261
"12","chakroun",1,48.4970702160707,88.9383323744997,68.7346043116724,46.0484962204854,2,0.462583929089305
"13","chakroun",1,51.5255545885544,86.2898355394524,67.9590606488685,49.1020689373481,2,0.540854886030502
"14","chakroun",1,59.9074453605651,87.7025858751586,72.1299479644849,50.9735099389344,2,0.543366257883463
"15","chakroun",1,50.0774900049038,79.4010942440403,62.3115103545326,43.4011941649571,2,0.413290066700938
"16","chakroun",1,37.958003544255,76.3060934447057,53.7271179383692,33.4964139563905,2,0.395122069949139
"17","chakroun",1,50.2598755639033,85.5460520975244,62.3311283953287,47.2508149013492,3,0.493923112489938
"18","chakroun",1,47.5307861216723,89.8629196104709,58.8847731233357,46.2412652996215,2,0.499012658490756
"19","chakroun",1,47.2010842354173,81.8332132527061,54.3740531386163,41.1639155852579,2,0.366064496725812
"20","chakroun",1,55.9738598372257,83.5371730746684,62.0985613247001,40.3133328679787,2,0.408695336309393
"21","chakroun",1,45.5727111217669,72.7377761948024,56.5758665424146,33.749976343907,2,0.93211737344609
"22","chakroun",1,54.3139709755682,81.74958393212,68.1248219121453,44.2570322275842,2,0.517965293733141
"23","chakroun",1,50.1891022212877,76.7346542489518,66.8452857118951,38.6736111201362,2,0.845295641949633
"24","chakroun",1,49.223452080505,74.1573859194828,64.4810786321044,38.6457086277697,2,0.573300176336488
"25","chakroun",1,64.0403922551238,84.517934217813,75.6989354105781,52.9839555795348,2,0.454737663036212
"26","chakroun",1,45.2505873206502,67.0784825409676,59.6478096399511,38.7316013020864,2,0.421935539734477
